Comisión Nacional del Agua
Subdirección General Técnica
Estación: Huixtla
Clave: HUIXTLA
Estado: Chiapas
Municipio: Huixtla

Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
2019/12/30,0.00,,,,
2019/12/31,0.20,,,,
2020/01/01,0.20,,,,
2020/01/02,0.00,,,,
2020/01/03,0.20,,,,
2020/01/04,0.00,,,,
2020/01/05,0.10,,,,
2020/01/06,0.10,,,,
2020/01/07,0.00,,,,
2020/01/08,0.30,,,,
2020/01/09,0.30,,,,
2020/01/10,0.00,,,,
2020/01/11,0.00,,,,
2020/01/12,0.50,,,,
2020/01/13,0.20,,,,
2020/01/14,0.00,,,,
2020/01/15,0.00,,,,
2020/01/16,0.30,,,,
2020/01/17,0.20,,,,
2020/01/18,0.00,,,,
2020/01/19,0.10,,,,
2020/01/20,0.20,,,,
2020/01/21,0.60,,,,
2020/01/22,0.00,,,,
2020/01/23,0.00,,,,
2020/01/24,0.40,,,,
2020/01/25,0.10,,,,
2020/01/26,0.10,,,,
2020/01/27,0.20,,,,
2020/01/28,0.00,,,,
2020/01/29,0.20,,,,
2020/01/30,0.20,,,,
2020/01/31,0.10,,,,
2020/02/01,0.10,,,,
2020/02/02,0.20,,,,
2020/02/03,0.10,,,,
2020/02/04,0.10,,,,
2020/02/05,0.10,,,,
2020/02/06,0.40,,,,
2020/02/07,0.10,,,,
2020/02/08,0.20,,,,
2020/02/09,0.10,,,,
2020/02/10,0.10,,,,
2020/02/11,0.10,,,,
2020/02/12,0.10,,,,
2020/02/13,0.20,,,,
2020/02/14,0.10,,,,
2020/02/15,0.10,,,,
2020/02/16,0.00,,,,
2020/02/17,0.00,,,,
2020/02/18,0.10,,,,
2020/02/19,0.40,,,,
2020/02/20,0.20,,,,
2020/02/21,0.20,,,,
2020/02/22,0.10,,,,
2020/02/23,0.30,,,,
2020/02/24,0.10,,,,
2020/02/25,4.20,,,,
2020/02/26,0.20,,,,
2020/02/27,0.20,,,,
2020/02/28,0.20,,,,
2020/02/29,0.10,,,,
2020/03/01,0.10,,,,
2020/03/02,0.00,,,,
2020/03/03,0.40,,,,
2020/03/04,0.10,,,,
2020/03/05,0.20,,,,
2020/03/06,0.10,,,,
2020/03/07,0.20,,,,
2020/03/08,0.10,,,,
2020/03/09,0.70,,,,
2020/03/10,1.50,,,,
2020/03/11,0.10,,,,
2020/03/12,0.10,,,,
2020/03/13,0.20,,,,
2020/03/14,2.00,,,,
2020/03/15,1.30,,,,
2020/03/16,8.60,,,,
2020/03/17,5.80,,,,
2020/03/18,0.40,,,,
2020/03/19,0.10,,,,
2020/03/20,10.30,,,,
2020/03/21,0.70,,,,
2020/03/22,0.80,,,,
2020/03/23,0.40,,,,
2020/03/24,0.00,,,,
2020/03/25,0.00,,,,
2020/03/26,0.70,,,,
2020/03/27,0.10,,,,
2020/03/28,0.20,,,,
2020/03/29,0.20,,,,
2020/03/30,1.20,,,,
2020/03/31,17.30,,,,
2020/04/01,0.60,,,,
2020/04/02,0.00,,,,
2020/04/03,0.20,,,,
2020/04/04,3.50,,,,
2020/04/05,0.60,,,,
2020/04/06,0.40,,,,
2020/04/07,0.60,,,,
2020/04/08,0.40,,,,
2020/04/09,0.40,,,,
2020/04/10,0.40,,,,
2020/04/11,0.50,,,,
2020/04/12,0.30,,,,
2020/04/13,0.30,,,,
2020/04/14,0.30,,,,
2020/04/15,0.50,,,,
2020/04/16,0.60,,,,
2020/04/17,3.50,,,,
2020/04/18,16.00,,,,
2020/04/19,1.40,,,,
2020/04/20,4.90,,,,
2020/04/21,1.30,,,,
2020/04/22,2.50,,,,
2020/04/23,0.50,,,,
2020/04/24,0.20,,,,
2020/04/25,0.60,,,,
2020/04/26,1.10,,,,
2020/04/27,0.70,,,,
2020/04/28,0.60,,,,
2020/04/29,1.20,,,,
2020/04/30,0.30,,,,
2020/05/01,0.60,,,,
2020/05/02,13.20,,,,
2020/05/03,0.90,,,,
2020/05/04,0.60,,,,
2020/05/05,0.60,,,,
2020/05/06,34.50,,,,
2020/05/07,0.70,,,,
2020/05/08,0.70,,,,
2020/05/09,0.70,,,,
2020/05/10,6.90,,,,
2020/05/11,13.70,,,,
2020/05/12,0.90,,,,
2020/05/13,1.30,,,,
2020/05/14,17.70,,,,
2020/05/15,0.40,,,,
2020/05/16,16.80,,,,
2020/05/17,41.80,,,,
2020/05/18,0.50,,,,
2020/05/19,20.20,,,,
2020/05/20,6.40,,,,
2020/05/21,10.80,,,,
2020/05/22,76.90,,,,
2020/05/23,0.00,,,,
2020/05/24,0.00,,,,
2020/05/25,0.00,,,,
2020/05/26,0.00,,,,
2020/05/27,13.00,,,,
2020/05/28,1.60,,,,
2020/05/29,53.30,,,,
2020/05/30,0.60,,,,
2020/05/31,7.60,,,,
2020/06/01,4.80,,,,
2020/06/02,45.40,,,,
2020/06/03,74.90,,,,
2020/06/04,112.80,,,,
2020/06/05,22.50,,,,
2020/06/06,8.10,,,,
2020/06/07,0.40,,,,
2020/06/08,0.10,,,,
2020/06/09,0.20,,,,
2020/06/10,3.90,,,,
2020/06/11,31.20,,,,
2020/06/12,4.10,,,,
2020/06/13,9.10,,,,
2020/06/14,6.30,,,,
2020/06/15,2.90,,,,
2020/06/16,9.80,,,,
2020/06/17,42.00,,,,
2020/06/18,44.60,,,,
2020/06/19,0.50,,,,
2020/06/20,23.30,,,,
2020/06/21,12.20,,,,
2020/06/22,14.70,,,,
2020/06/23,5.50,,,,
2020/06/24,34.70,,,,
2020/06/25,60.00,,,,
2020/06/26,4.10,,,,
2020/06/27,0.00,,,,
2020/06/28,14.80,,,,
2020/06/29,0.00,,,,
2020/06/30,3.00,,,,
2020/07/01,11.00,,,,
2020/07/02,1.00,,,,
2020/07/03,10.60,,,,
2020/07/04,0.20,,,,
2020/07/05,3.20,,,,
2020/07/06,3.30,,,,
2020/07/07,0.30,,,,
2020/07/08,0.10,,,,
2020/07/09,1.70,,,,
2020/07/10,27.90,,,,
2020/07/11,1.60,,,,
2020/07/12,26.00,,,,
2020/07/13,13.10,,,,
2020/07/14,89.70,,,,
2020/07/15,32.80,,,,
2020/07/16,1.00,,,,
2020/07/17,0.90,,,,
2020/07/18,0.20,,,,
2020/07/19,0.30,,,,
2020/07/20,19.20,,,,
2020/07/21,1.90,,,,
2020/07/22,1.80,,,,
2020/07/23,6.30,,,,
2020/07/24,1.00,,,,
2020/07/25,1.90,,,,
2020/07/26,6.50,,,,
2020/07/27,2.10,,,,
2020/07/28,5.30,,,,
2020/07/29,1.80,,,,
2020/07/30,0.80,,,,
2020/07/31,4.60,,,,
2020/08/01,0.00,,,,
2020/08/02,0.80,,,,
2020/08/03,0.00,,,,
2020/08/04,0.00,,,,
2020/08/05,0.00,,,,
2020/08/06,0.00,,,,
2020/08/07,0.00,,,,
2020/08/08,0.00,,,,
2020/08/09,0.00,,,,
2020/08/10,-,,,,
2020/08/11,-,,,,
2020/08/12,0.00,,,,
2020/08/13,0.00,,,,
2020/08/14,0.00,,,,
2020/08/15,0.00,,,,
2020/08/16,-,,,,
2020/08/17,0.50,,,,
2020/08/18,0.00,,,,
2020/08/19,-,,,,
2020/08/20,0.00,,,,
2020/08/21,0.00,,,,
2020/08/22,0.00,,,,
2020/08/23,-,,,,
2020/08/24,-,,,,
2020/08/25,0.30,,,,
2020/08/26,0.00,,,,
2020/08/27,0.00,,,,
2020/08/28,0.00,,,,
2020/08/29,-,,,,
2020/08/30,0.80,,,,
2020/08/31,0.00,,,,
2020/09/01,-,,,,
2020/09/02,-,,,,
2020/09/03,-,,,,
2020/09/04,-,,,,
2020/09/05,-,,,,
2020/09/06,-,,,,
2020/09/07,-,,,,
2020/09/08,-,,,,
2020/09/09,-,,,,
2020/09/10,-,,,,
2020/09/11,-,,,,
2020/09/12,-,,,,
2020/09/13,-,,,,
2020/09/14,-,,,,
2020/09/15,-,,,,
2020/09/16,-,,,,
2020/09/17,-,,,,
2020/09/18,-,,,,
2020/09/19,-,,,,
2020/09/20,-,,,,
2020/09/21,-,,,,
2020/09/22,-,,,,
2020/09/23,-,,,,
2020/09/24,-,,,,
2020/09/25,-,,,,
2020/09/26,-,,,,
2020/09/27,-,,,,
2020/09/28,-,,,,
2020/09/29,-,,,,
2020/09/30,-,,,,
2020/10/01,-,,,,
2020/10/02,-,,,,
2020/10/03,-,,,,
2020/10/04,-,,,,
2020/10/05,-,,,,
2020/10/06,-,,,,
2020/10/07,-,,,,
2020/10/08,-,,,,
2020/10/09,-,,,,
2020/10/10,-,,,,
2020/10/11,-,,,,
2020/10/12,-,,,,
2020/10/13,-,,,,
2020/10/14,-,,,,
2020/10/15,-,,,,
2020/10/16,-,,,,
2020/10/17,-,,,,
2020/10/18,-,,,,
2020/10/19,-,,,,
2020/10/20,-,,,,
2020/10/21,-,,,,
2020/10/22,-,,,,
2020/10/23,-,,,,
2020/10/24,-,,,,
2020/10/25,-,,,,
2020/10/26,-,,,,
2020/10/27,-,,,,
2020/10/28,-,,,,
2020/10/29,-,,,,
2020/10/30,-,,,,
2020/10/31,-,,,,
2020/11/01,-,,,,
2020/11/02,-,,,,
2020/11/03,-,,,,
2020/11/04,-,,,,
2020/11/05,-,,,,
2020/11/06,-,,,,
2020/11/07,-,,,,
2020/11/08,-,,,,
2020/11/09,-,,,,
2020/11/10,-,,,,
2020/11/11,-,,,,
2020/11/12,-,,,,
2020/11/13,-,,,,
2020/11/14,-,,,,
2020/11/15,-,,,,
2020/11/16,-,,,,
2020/11/17,-,,,,
2020/11/18,-,,,,
2020/11/19,-,,,,
2020/11/20,-,,,,
2020/11/21,-,,,,
2020/11/22,-,,,,
2020/11/23,-,,,,
2020/11/24,-,,,,
2020/11/25,-,,,,
2020/11/26,-,,,,
2020/11/27,-,,,,
2020/11/28,-,,,,
2020/11/29,-,,,,
2020/11/30,-,,,,
2020/12/01,-,,,,
2020/12/02,-,,,,
2020/12/03,-,,,,
2020/12/04,-,,,,
2020/12/05,-,,,,
2020/12/06,-,,,,
2020/12/07,-,,,,
2020/12/08,-,,,,
2020/12/09,-,,,,
2020/12/10,-,,,,
2020/12/11,-,,,,
2020/12/12,-,,,,
2020/12/13,-,,,,
2020/12/14,-,,,,
2020/12/15,-,,,,
2020/12/16,-,,,,
2020/12/17,-,,,,
2020/12/18,-,,,,
2020/12/19,-,,,,
2020/12/20,-,,,,
2020/12/21,-,,,,
2020/12/22,-,,,,
2020/12/23,-,,,,
2020/12/24,-,,,,
2020/12/25,-,,,,
2020/12/26,-,,,,
2020/12/27,-,,,,
2020/12/28,-,,,,
2020/12/29,-,,,,
2020/12/30,-,,,,
2020/12/31,-,,,,
2021/01/01,-,,,,
2021/01/02,-,,,,
2021/01/03,-,,,,
2021/01/04,-,,,,
2021/01/05,-,,,,
2021/01/06,-,,,,
2021/01/07,-,,,,
2021/01/08,-,,,,
2021/01/09,-,,,,
2021/01/10,-,,,,
2021/01/11,-,,,,
2021/01/12,-,,,,
2021/01/13,-,,,,
2021/01/14,-,,,,
2021/01/15,-,,,,
2021/01/16,-,,,,
2021/01/17,-,,,,
2021/01/18,-,,,,
2021/01/19,-,,,,
2021/01/20,-,,,,
2021/01/21,-,,,,
2021/01/22,-,,,,
2021/01/23,-,,,,
2021/01/24,-,,,,
2021/01/25,-,,,,
2021/01/26,-,,,,
2021/01/27,-,,,,
2021/01/28,-,,,,
2021/01/29,-,,,,
2021/01/30,-,,,,
2021/01/31,-,,,,
2021/02/01,-,,,,
2021/02/02,-,,,,
2021/02/03,-,,,,
2021/02/04,-,,,,
2021/02/05,-,,,,
2021/02/06,-,,,,
2021/02/07,-,,,,
2021/02/08,-,,,,
2021/02/09,-,,,,
2021/02/10,-,,,,
2021/02/11,-,,,,
2021/02/12,-,,,,
2021/02/13,-,,,,
2021/02/14,-,,,,
2021/02/15,-,,,,
2021/02/16,-,,,,
2021/02/17,-,,,,
2021/02/18,-,,,,
2021/02/19,-,,,,
2021/02/20,-,,,,
2021/02/21,-,,,,
2021/02/22,-,,,,
2021/02/23,-,,,,
2021/02/24,-,,,,
2021/02/25,-,,,,
2021/02/26,-,,,,
2021/02/27,-,,,,
2021/02/28,-,,,,
2021/03/01,-,,,,
2021/03/02,-,,,,
2021/03/03,-,,,,
2021/03/04,-,,,,
2021/03/05,-,,,,
2021/03/06,-,,,,
2021/03/07,-,,,,
2021/03/08,-,,,,
2021/03/09,-,,,,
2021/03/10,-,,,,
2021/03/11,-,,,,
2021/03/12,-,,,,
2021/03/13,-,,,,
2021/03/14,-,,,,
2021/03/15,-,,,,
2021/03/16,-,,,,
2021/03/17,-,,,,
2021/03/18,-,,,,
2021/03/19,-,,,,
2021/03/20,-,,,,
2021/03/21,-,,,,
2021/03/22,-,,,,
2021/03/23,-,,,,
2021/03/24,-,,,,
2021/03/25,-,,,,
2021/03/26,-,,,,
2021/03/27,-,,,,
2021/03/28,-,,,,
2021/03/29,-,,,,
2021/03/30,-,,,,
2021/03/31,-,,,,
2021/04/01,-,,,,
2021/04/02,-,,,,
2021/04/03,-,,,,
2021/04/04,-,,,,
2021/04/05,-,,,,
2021/04/06,-,,,,
2021/04/07,-,,,,
2021/04/08,-,,,,
2021/04/09,-,,,,
2021/04/10,-,,,,
2021/04/11,-,,,,
2021/04/12,-,,,,
2021/04/13,-,,,,
2021/04/14,-,,,,
2021/04/15,-,,,,
2021/04/16,-,,,,
2021/04/17,-,,,,
2021/04/18,-,,,,
2021/04/19,-,,,,
2021/04/20,-,,,,
2021/04/21,-,,,,
2021/04/22,-,,,,
2021/04/23,-,,,,
2021/04/24,-,,,,
2021/04/25,-,,,,
2021/04/26,-,,,,
2021/04/27,-,,,,
2021/04/28,-,,,,
2021/04/29,-,,,,
2021/04/30,-,,,,
2021/05/01,-,,,,
2021/05/02,-,,,,
2021/05/03,-,,,,
2021/05/04,-,,,,
2021/05/05,-,,,,
2021/05/06,-,,,,
2021/05/07,-,,,,
2021/05/08,-,,,,
2021/05/09,-,,,,
2021/05/10,-,,,,
2021/05/11,-,,,,
2021/05/12,-,,,,
2021/05/13,-,,,,
2021/05/14,-,,,,
2021/05/15,-,,,,
2021/05/16,-,,,,
2021/05/17,-,,,,
2021/05/18,-,,,,
2021/05/19,-,,,,
2021/05/20,-,,,,
2021/05/21,-,,,,
2021/05/22,-,,,,
2021/05/23,-,,,,
2021/05/24,-,,,,
2021/05/25,-,,,,
2021/05/26,-,,,,
2021/05/27,-,,,,
2021/05/28,-,,,,
2021/05/29,-,,,,
2021/05/30,-,,,,
2021/05/31,-,,,,
2021/06/01,-,,,,
2021/06/02,-,,,,
2021/06/03,-,,,,
2021/06/04,-,,,,
2021/06/05,-,,,,
2021/06/06,-,,,,
2021/06/07,-,,,,
2021/06/08,-,,,,
2021/06/09,-,,,,
2021/06/10,-,,,,
2021/06/11,-,,,,
2021/06/12,-,,,,
2021/06/13,-,,,,
2021/06/14,-,,,,
2021/06/15,-,,,,
2021/06/16,-,,,,
2021/06/17,-,,,,
2021/06/18,-,,,,
2021/06/19,-,,,,
2021/06/20,-,,,,
2021/06/21,-,,,,
2021/06/22,-,,,,
2021/06/23,-,,,,
2021/06/24,-,,,,
2021/06/25,-,,,,
2021/06/26,-,,,,
2021/06/27,-,,,,
2021/06/28,-,,,,
2021/06/29,-,,,,
2021/06/30,-,,,,
2021/07/01,-,,,,
2021/07/02,-,,,,
2021/07/03,-,,,,
2021/07/04,-,,,,
2021/07/05,-,,,,
2021/07/06,-,,,,
2021/07/07,-,,,,
2021/07/08,-,,,,
2021/07/09,-,,,,
2021/07/10,-,,,,
2021/07/11,-,,,,
2021/07/12,-,,,,
2021/07/13,-,,,,
2021/07/14,-,,,,
2021/07/15,-,,,,
2021/07/16,-,,,,
2021/07/17,-,,,,
2021/07/18,-,,,,
2021/07/19,-,,,,
2021/07/20,-,,,,
2021/07/21,-,,,,
2021/07/22,-,,,,
2021/07/23,-,,,,
2021/07/24,-,,,,
2021/07/25,-,,,,
2021/07/26,-,,,,
2021/07/27,-,,,,
2021/07/28,-,,,,
2021/07/29,-,,,,
2021/07/30,-,,,,
2021/07/31,-,,,,
2021/08/01,-,,,,
2021/08/02,-,,,,
2021/08/03,-,,,,
2021/08/04,-,,,,
2021/08/05,-,,,,
2021/08/06,-,,,,
2021/08/07,-,,,,
2021/08/08,-,,,,
2021/08/09,-,,,,
2021/08/10,-,,,,
2021/08/11,-,,,,
2021/08/12,-,,,,
2021/08/13,-,,,,
2021/08/14,-,,,,
2021/08/15,-,,,,
2021/08/16,-,,,,
2021/08/17,-,,,,
2021/08/18,-,,,,
2021/08/19,-,,,,
2021/08/20,-,,,,
2021/08/21,-,,,,
2021/08/22,-,,,,
2021/08/23,-,,,,
2021/08/24,-,,,,
2021/08/25,-,,,,
2021/08/26,-,,,,
2021/08/27,-,,,,
2021/08/28,-,,,,
2021/08/29,-,,,,
2021/08/30,-,,,,
2021/08/31,-,,,,
2021/09/01,-,,,,
2021/09/02,-,,,,
2021/09/03,-,,,,
2021/09/04,-,,,,
2021/09/05,-,,,,
2021/09/06,-,,,,
2021/09/07,-,,,,
2021/09/08,-,,,,
2021/09/09,-,,,,
2021/09/10,-,,,,
2021/09/11,-,,,,
2021/09/12,-,,,,
2021/09/13,-,,,,
2021/09/14,-,,,,
2021/09/15,-,,,,
2021/09/16,-,,,,
2021/09/17,-,,,,
2021/09/18,-,,,,
2021/09/19,-,,,,
2021/09/20,-,,,,
2021/09/21,-,,,,
2021/09/22,-,,,,
2021/09/23,-,,,,
2021/09/24,-,,,,
2021/09/25,-,,,,
2021/09/26,-,,,,
2021/09/27,-,,,,
2021/09/28,-,,,,
2021/09/29,-,,,,
2021/09/30,-,,,,
2021/10/01,-,,,,
2021/10/02,-,,,,
2021/10/03,-,,,,
2021/10/04,-,,,,
2021/10/05,-,,,,
2021/10/06,-,,,,
2021/10/07,-,,,,
2021/10/08,-,,,,
2021/10/09,-,,,,
2021/10/10,-,,,,
2021/10/11,-,,,,
2021/10/12,-,,,,
2021/10/13,-,,,,
2021/10/14,-,,,,
2021/10/15,-,,,,
2021/10/16,-,,,,
2021/10/17,-,,,,
2021/10/18,-,,,,
2021/10/19,-,,,,
2021/10/20,-,,,,
2021/10/21,-,,,,
2021/10/22,-,,,,
2021/10/23,-,,,,
2021/10/24,-,,,,
2021/10/25,-,,,,
2021/10/26,-,,,,
2021/10/27,-,,,,
2021/10/28,-,,,,
2021/10/29,-,,,,
2021/10/30,-,,,,
2021/10/31,-,,,,
2021/11/01,-,,,,
2021/11/02,-,,,,
2021/11/03,-,,,,
2021/11/04,-,,,,
2021/11/05,-,,,,
2021/11/06,-,,,,
2021/11/07,-,,,,
2021/11/08,-,,,,
2021/11/09,-,,,,
2021/11/10,-,,,,
2021/11/11,-,,,,
2021/11/12,-,,,,
2021/11/13,-,,,,
2021/11/14,-,,,,
2021/11/15,-,,,,
2021/11/16,-,,,,
2021/11/17,-,,,,
2021/11/18,-,,,,
2021/11/19,-,,,,
2021/11/20,-,,,,
2021/11/21,-,,,,
2021/11/22,-,,,,
2021/11/23,-,,,,
2021/11/24,-,,,,
2021/11/25,-,,,,
2021/11/26,-,,,,
2021/11/27,-,,,,
2021/11/28,-,,,,
2021/11/29,-,,,,
2021/11/30,-,,,,
2021/12/01,-,,,,
2021/12/02,-,,,,
2021/12/03,-,,,,
2021/12/04,-,,,,
2021/12/05,-,,,,
2021/12/06,-,,,,
2021/12/07,-,,,,
2021/12/08,-,,,,
2021/12/09,-,,,,
2021/12/10,-,,,,
2021/12/11,-,,,,
2021/12/12,-,,,,
2021/12/13,-,,,,
2021/12/14,-,,,,
2021/12/15,-,,,,
2021/12/16,-,,,,
2021/12/17,-,,,,
2021/12/18,-,,,,
2021/12/19,-,,,,
2021/12/20,-,,,,
2021/12/21,-,,,,
2021/12/22,-,,,,
2021/12/23,-,,,,
2021/12/24,-,,,,
2021/12/25,-,,,,
2021/12/26,-,,,,
2021/12/27,-,,,,
2021/12/28,-,,,,
2021/12/29,-,,,,
2021/12/30,-,,,,
2021/12/31,-,,,,
2022/01/01,-,,,,
2022/01/02,-,,,,
2022/01/03,-,,,,
2022/01/04,-,,,,
2022/01/05,-,,,,
2022/01/06,-,,,,
2022/01/07,-,,,,
2022/01/08,-,,,,
2022/01/09,-,,,,
2022/01/10,-,,,,
2022/01/11,-,,,,
2022/01/12,-,,,,
2022/01/13,-,,,,
2022/01/14,-,,,,
2022/01/15,-,,,,
2022/01/16,-,,,,
2022/01/17,-,,,,
2022/01/18,-,,,,
2022/01/19,-,,,,
2022/01/20,-,,,,
2022/01/21,-,,,,
2022/01/22,-,,,,
2022/01/23,-,,,,
2022/01/24,-,,,,
2022/01/25,-,,,,
2022/01/26,-,,,,
2022/01/27,-,,,,
2022/01/28,-,,,,
2022/01/29,-,,,,
2022/01/30,-,,,,
2022/01/31,-,,,,
2022/02/01,-,,,,
2022/02/02,-,,,,
2022/02/03,-,,,,
2022/02/04,-,,,,
2022/02/05,-,,,,
2022/02/06,-,,,,
2022/02/07,-,,,,
2022/02/08,-,,,,
2022/02/09,-,,,,
2022/02/10,-,,,,
2022/02/11,-,,,,
2022/02/12,-,,,,
2022/02/13,-,,,,
2022/02/14,-,,,,
2022/02/15,-,,,,
2022/02/16,2.10,,,,
2022/02/17,0.10,,,,
2022/02/18,0.00,,,,
2022/02/19,0.10,,,,
2022/02/20,0.00,,,,
2022/02/21,0.00,,,,
2022/02/22,0.00,,,,
2022/02/23,0.10,,,,
2022/02/24,0.00,,,,
2022/02/25,0.00,,,,
2022/02/26,0.00,,,,
2022/02/27,0.10,,,,
2022/02/28,0.10,,,,
2022/03/01,0.00,,,,
2022/03/02,0.00,,,,
2022/03/03,0.00,,,,
2022/03/04,0.00,,,,
2022/03/05,0.10,,,,
2022/03/06,0.00,,,,
2022/03/07,0.00,,,,
2022/03/08,0.00,,,,
2022/03/09,0.10,,,,
2022/03/10,12.30,,,,
2022/03/11,0.00,,,,
2022/03/12,0.00,,,,
2022/03/13,0.00,,,,
2022/03/14,0.00,,,,
2022/03/15,0.00,,,,
2022/03/16,0.00,,,,
2022/03/17,5.00,,,,
2022/03/18,0.10,,,,
2022/03/19,0.00,,,,
2022/03/20,0.00,,,,
2022/03/21,0.00,,,,
2022/03/22,0.00,,,,
2022/03/23,0.00,,,,
2022/03/24,0.00,,,,
2022/03/25,0.00,,,,
2022/03/26,0.00,,,,
2022/03/27,9.80,,,,
2022/03/28,0.10,,,,
2022/03/29,0.00,,,,
2022/03/30,0.00,,,,
2022/03/31,0.00,,,,
2022/04/01,0.00,,,,
2022/04/02,0.00,,,,
2022/04/03,0.00,,,,
2022/04/04,0.10,,,,
2022/04/05,0.00,,,,
2022/04/06,0.00,,,,
2022/04/07,0.00,,,,
2022/04/08,0.00,,,,
2022/04/09,0.00,,,,
2022/04/10,20.50,,,,
2022/04/11,0.00,,,,
2022/04/12,0.60,,,,
2022/04/13,0.00,,,,
2022/04/14,0.00,,,,
2022/04/15,0.00,,,,
2022/04/16,0.00,,,,
2022/04/17,0.00,,,,
2022/04/18,0.00,,,,
2022/04/19,0.00,,,,
2022/04/20,0.00,,,,
2022/04/21,2.10,,,,
2022/04/22,32.00,,,,
2022/04/23,16.40,,,,
2022/04/24,0.00,,,,
2022/04/25,0.20,,,,
2022/04/26,25.50,,,,
2022/04/27,0.50,,,,
2022/04/28,0.00,,,,
2022/04/29,0.00,,,,
2022/04/30,12.00,,,,
2022/05/01,0.00,,,,
2022/05/02,0.00,,,,
2022/05/03,0.50,,,,
2022/05/04,4.50,,,,
2022/05/05,18.50,,,,
2022/05/06,18.80,,,,
2022/05/07,10.40,,,,
2022/05/08,3.60,,,,
2022/05/09,50.00,,,,
2022/05/10,58.90,,,,
2022/05/11,0.00,,,,
2022/05/12,0.00,,,,
2022/05/13,0.00,,,,
2022/05/14,0.00,,,,
2022/05/15,0.00,,,,
2022/05/16,-,,,,
2022/05/17,0.00,,,,
2022/05/18,1.00,,,,
2022/05/19,8.60,,,,
2022/05/20,0.00,,,,
2022/05/21,0.00,,,,
2022/05/22,17.20,,,,
2022/05/23,55.80,,,,
2022/05/24,23.20,,,,
2022/05/25,9.10,,,,
2022/05/26,20.40,,,,
2022/05/27,16.90,,,,
2022/05/28,2.10,,,,
2022/05/29,0.60,,,,
2022/05/30,4.10,,,,
2022/05/31,9.90,,,,
2022/06/01,48.30,,,,
2022/06/02,44.40,,,,
2022/06/03,8.80,,,,
2022/06/04,1.40,,,,
2022/06/05,19.90,,,,
2022/06/06,75.00,,,,
2022/06/07,19.60,,,,
2022/06/08,46.20,,,,
2022/06/09,13.70,,,,
2022/06/10,45.10,,,,
2022/06/11,0.00,,,,
2022/06/12,11.10,,,,
2022/06/13,66.90,,,,
2022/06/14,36.70,,,,
2022/06/15,13.00,,,,
2022/06/16,0.00,,,,
2022/06/17,18.00,,,,
2022/06/18,40.00,,,,
2022/06/19,12.90,,,,
2022/06/20,12.50,,,,
2022/06/21,11.90,,,,
2022/06/22,19.90,,,,
2022/06/23,0.00,,,,
2022/06/24,0.30,,,,
2022/06/25,17.00,,,,
2022/06/26,5.60,,,,
2022/06/27,2.50,,,,
2022/06/28,0.20,,,,
2022/06/29,18.90,,,,
2022/06/30,0.00,,,,
2022/07/01,10.40,,,,
2022/07/02,9.80,,,,
2022/07/03,1.00,,,,
2022/07/04,16.20,,,,
2022/07/05,37.50,,,,
2022/07/06,3.10,,,,
2022/07/07,45.20,,,,
2022/07/08,0.00,,,,
2022/07/09,0.00,,,,
2022/07/10,0.60,,,,
2022/07/11,34.30,,,,
2022/07/12,13.20,,,,
2022/07/13,8.80,,,,
2022/07/14,53.10,,,,
2022/07/15,19.20,,,,
2022/07/16,22.40,,,,
2022/07/17,17.80,,,,
2022/07/18,0.30,,,,
2022/07/19,0.00,,,,
2022/07/20,0.70,,,,
2022/07/21,0.70,,,,
2022/07/22,0.50,,,,
2022/07/23,25.00,,,,
2022/07/24,21.80,,,,
2022/07/25,0.00,,,,
2022/07/26,10.30,,,,
2022/07/27,27.90,,,,
2022/07/28,20.60,,,,
2022/07/29,22.50,,,,
2022/07/30,0.00,,,,
2022/07/31,2.30,,,,
2022/08/01,0.30,,,,
2022/08/02,6.40,,,,
2022/08/03,20.20,,,,
2022/08/04,0.00,,,,
2022/08/05,27.30,,,,
2022/08/06,111.20,,,,
2022/08/07,38.80,,,,
2022/08/08,5.90,,,,
2022/08/09,39.40,,,,
2022/08/10,56.80,,,,
2022/08/11,3.40,,,,
2022/08/12,3.00,,,,
2022/08/13,28.70,,,,
2022/08/14,1.50,,,,
2022/08/15,11.90,,,,
2022/08/16,14.30,,,,
2022/08/17,23.00,,,,
2022/08/18,19.40,,,,
2022/08/19,0.00,,,,
2022/08/20,1.40,,,,
2022/08/21,44.60,,,,
2022/08/22,0.00,,,,
2022/08/23,1.00,,,,
2022/08/24,55.00,,,,
2022/08/25,17.90,,,,
2022/08/26,18.20,,,,
2022/08/27,0.50,,,,
2022/08/28,3.20,,,,
2022/08/29,0.00,,,,
2022/08/30,18.70,,,,
2022/08/31,7.80,,,,
2022/09/01,18.90,,,,
2022/09/02,1.70,,,,
2022/09/03,15.80,,,,
2022/09/04,1.20,,,,
2022/09/05,0.90,,,,
2022/09/06,2.70,,,,
2022/09/07,11.40,,,,
2022/09/08,5.00,,,,
2022/09/09,0.70,,,,
2022/09/10,-,,,,
2022/09/11,8.10,,,,
2022/09/12,12.50,,,,
2022/09/13,6.80,,,,
2022/09/14,7.40,,,,
2022/09/15,13.90,,,,
2022/09/16,12.60,,,,
2022/09/17,12.30,,,,
2022/09/18,8.80,,,,
2022/09/19,7.30,,,,
2022/09/20,14.20,,,,
